date,oil_price,oil_log_price,oil_log_return,gold_price,gold_log_price,gold_log_return
1988,14.91,2.702032128776647,-0.21735891152062115,437.048,6.0800430288805725,-0.021335899282829196
1989,18.23,2.9030685886905716,0.2010364599139245,381.432,5.943932591062628,-0.13611043781794407
1990,23.76,3.168003494494444,0.2649349058038726,383.467,5.9492535675611595,0.005320976498531138
1991,20.04,2.997730276216664,-0.1702732182777802,362.183,5.892149608953003,-0.05710395860815609
1992,19.32,2.961140828784372,-0.036589447432291866,343.733,5.83986519321241,-0.05228441574059328
1993,17.01,2.8338014064077703,-0.12733942237660179,359.77,5.885464938384792,0.045599745172381745
1994,15.86,2.7638002162067017,-0.07000119020106865,384.012,5.950673802099455,0.0652088637146635
1995,17.02,2.834389123145228,0.07058890693852637,384.164,5.9510695447469315,0.000395742647476105
1996,20.64,3.027230940613362,0.1928418174681341,387.696,5.96022152736805,0.009151982621118826
1997,19.11,2.950211758252182,-0.07701918236118033,331.096,5.802408363537912,-0.15781316383013877
1998,12.76,2.546315277916644,-0.40389648033553804,294.161,5.684127236497709,-0.11828112704020288
1999,17.9,2.884800712846709,0.3384854349300652,278.768,5.63037989468055,-0.05374734181715901
2000,28.66,3.3555024224000256,0.4707017095533166,279.032,5.63132647058486,0.0009465759043099098
2001,24.46,3.1970391302590264,-0.1584632921409992,270.989,5.602078229649984,-0.029248240934875547
2002,24.99,3.218475744846861,0.021436614587834413,309.972,5.7364819708192165,0.13440374116923248
2003,28.85,3.3621099929541085,0.14363424810724768,363.509,5.8958040559518,0.15932208513258317
2004,38.26,3.644404964012107,0.2822949710579983,409.212,6.014233359160683,0.11842930320888367
2005,54.57,3.9994842811981406,0.3550793171860338,444.843,6.097721410925742,0.08348805176505891
2006,65.16,4.176845783733844,0.1773615025357036,604.336,6.404130334652847,0.3064089237271048
2007,72.44,4.282758633015213,0.10591284928136879,696.72,6.546383608384484,0.14225327373163665
2008,96.94,4.57409223041723,0.2913335974020166,871.707,6.770453358270936,0.22406974988645256
2009,61.74,4.122932019074013,-0.4511602113432165,972.966,6.880349138101676,0.10989577983073939
2010,79.61,4.377139713100487,0.2542076940264737,1224.664,7.110421799641335,0.23007266153965933
2011,111.26,4.711869804647147,0.33473009154666045,1569.211,7.358328224252199,0.2479064246108642
2012,111.63,4.715189831026641,0.00332002637949369,1669.518,7.420290240996747,0.06196201674454738
2013,108.56,4.687303015526614,-0.02788681550002714,1411.462,7.25238132561666,-0.167908915380087
2014,98.97,4.5948167739086,-0.09248624161801366,1265.578,7.143284213802884,-0.10909711181377535
2015,52.32,3.9573787071489432,-0.6374380667596569,1160.663,7.056746672551071,-0.08653754125181301
2016,43.64,3.77597416096487,-0.1814045461840732,1248.988,7.1300889023932745,0.07334222984220329
2017,54.13,3.9913885608088866,0.21541439984401656,1257.559,7.136927819362322,0.006838916969047482
2018,71.34,4.267457179930745,0.27606861912185865,1269.227,7.146163332725756,0.009235513363433867
2019,64.3,4.163559631243574,-0.10389754868717116,1392.498,7.238854535534698,0.09269120280894239
2020,41.96,3.7367167835280966,-0.42684284771547754,1770.254,7.4788783180971885,0.24002378256249024
2021,70.86,4.260706099437326,0.5239893159092293,1799.629,7.495335811529331,0.0164574934321422
2022,100.93,4.614427207250769,0.3537211078134428,1800.602,7.495876332414624,0.0005405208852931054
2023,82.49,4.41267707387264,-0.20175013337812864,1942.666,7.571816535476028,0.07594020306140425
2024,80.52,4.388505600771591,-0.024171473101048946,2387.702,7.77808667610573,0.20627014062970161
