Date,Price
1987,446.473
1988,437.048
1989,381.432
1990,383.467
1991,362.183
1992,343.733
1993,359.770
1994,384.012
1995,384.164
1996,387.696
1997,331.096
1998,294.161
1999,278.768
2000,279.032
2001,270.989
2002,309.972
2003,363.509
2004,409.212
2005,444.843
2006,604.336
2007,696.720
2008,871.707
2009,972.966
2010,1224.664
2011,1569.211
2012,1669.518
2013,1411.462
2014,1265.578
2015,1160.663
2016,1248.988
2017,1257.559
2018,1269.227
2019,1392.498
2020,1770.254
2021,1799.629
2022,1800.602
2023,1942.666
2024,2387.702
