Date,log_oil_usd,log_gold_usd,log_usd_inr,log_oil_inr,log_gold_inr
1987,2.9193910402972683,6.101378928163402,2.561867690924129,5.481258731221397,8.66324661908753
1988,2.702032128776647,6.0800430288805725,2.6333266549062735,5.335358783682921,8.713369683786846
1989,2.9030685886905716,5.943932591062628,2.7868613815264998,5.689929970217071,8.730793972589128
1990,3.168003494494444,5.9492535675611595,2.8622008809294686,6.030204375423913,8.811454448490629
1991,2.997730276216664,5.892149608953003,3.12412548832239,6.121855764539054,9.016275097275393
1992,2.961140828784372,5.83986519321241,3.255014871484074,6.2161557002684455,9.094880064696484
1993,2.8338014064077703,5.885464938384792,3.4173987610001633,6.251200167407934,9.302863699384956
1994,2.7638002162067017,5.950673802099455,3.445852022202587,6.209652238409289,9.396525824302042
1995,2.834389123145228,5.9510695447469315,3.4790839203192268,6.313473043464454,9.430153465066159
1996,3.027230940613362,5.96022152736805,3.5675589188773804,6.594789859490743,9.527780446245432
1997,2.950211758252182,5.802408363537912,3.5920931854262443,6.542304943678426,9.394501548964156
1998,2.546315277916644,5.684127236497709,3.7198935076431057,6.2662087855597495,9.404020744140814
1999,2.884800712846709,5.63037989468055,3.762594491936217,6.647395204782926,9.392974386616766
2000,3.3555024224000256,5.63132647058486,3.8053282667571833,7.160830689157208,9.436654737342042
2001,3.1970391302590264,5.602078229649984,3.8541820057382963,7.051221135997323,9.45626023538828
2002,3.218475744846861,5.7364819708192165,3.883829271057364,7.102305015904225,9.62031124187658
2003,3.3621099929541085,5.8958040559518,3.841171264456195,7.203281257410303,9.736975320407995
2004,3.644404964012107,6.014233359160683,3.8137484361598055,7.458153400171913,9.82798179532049
2005,3.9994842811981406,6.097721410925742,3.7864597824528,7.785944063650941,9.884181193378543
2006,4.176845783733844,6.404130334652847,3.813527758679047,7.990373542412891,10.217658093331893
2007,4.282758633015213,6.546383608384484,3.7220724214697003,8.004831054484914,10.268456029854185
2008,4.57409223041723,6.770453358270936,3.772990796732589,8.347083027149818,10.543444155003526
2009,4.122932019074013,6.880349138101676,3.879706403951603,8.002638423025616,10.760055542053278
2010,4.377139713100487,7.110421799641335,3.822754537669964,8.19989425077045,10.933176337311298
2011,4.711869804647147,7.358328224252199,3.8431015599617244,8.554971364608871,11.201429784213923
2012,4.715189831026641,7.420290240996747,3.97855952922839,8.693749360255032,11.398849770225137
2013,4.687303015526614,7.25238132561666,4.035478809355064,8.722781824881679,11.287860134971725
2014,4.5948167739086,7.143284213802884,4.132442850820759,8.727259624729358,11.275727064623643
2015,3.9573787071489432,7.056746672551071,4.142658422500651,8.100037129649595,11.199405095051723
2016,3.77597416096487,7.1300889023932745,4.196600262926448,7.972574423891318,11.326689165319722
2017,3.9913885608088866,7.136927819362322,4.216414691442874,8.207803252251761,11.353342510805197
2018,4.267457179930745,7.146163332725756,4.249780130512233,8.51723731044298,11.39594346323799
2019,4.163559631243574,7.238854535534698,4.25405120762004,8.417610838863615,11.492905743154738
2020,3.7367167835280966,7.4788783180971885,4.3357208817973705,8.072437665325467,11.814599199894559
2021,4.260706099437326,7.495335811529331,4.311738281555703,8.57244438099303,11.807074093085035
2022,4.614427207250769,7.495876332414624,4.3987608336650466,9.013188040915814,11.89463716607967
2023,4.41267707387264,7.571816535476028,4.405987272118725,8.818664345991365,11.977803807594753
2024,4.388505600771591,7.77808667610573,4.440649253819643,8.829154854591234,12.218735929925373
