Date,Price
1987-05,12.666
1987-06,12.8368
1987-07,13.0126
1987-08,13.0852
1987-09,12.9933
1987-10,13.0429
1987-11,12.9721
1987-12,12.9345
1988-01,13.0395
1988-02,13.065
1988-03,12.9791
1988-04,13.1576
1988-05,13.3157
1988-06,13.7859
1988-07,14.0795
1988-08,14.217
1988-09,14.4895
1988-10,14.72
1988-11,14.966
1988-12,15.019
1989-01,15.0925
1989-02,15.2405
1989-03,15.4674
1989-04,15.718
1989-05,16.1018
1989-06,16.4195
1989-07,16.416
1989-08,16.6091
1989-09,16.745
1989-10,16.819
1989-11,16.9248
1989-12,16.932
1990-01,16.9633
1990-02,16.9895
1990-03,17.1164
1990-04,17.2943
1990-05,17.3245
1990-06,17.421
1990-07,17.4119
1990-08,17.3465
1990-09,17.8595
1990-10,18.0736
1990-11,18.0975
1990-12,18.1272
1991-01,18.339
1991-02,18.86
1991-03,19.2429
1991-04,19.9064
1991-05,20.5186
1991-06,21.062
1991-07,25.6127
1991-08,25.8457
1991-09,25.8335
1991-10,25.7973
1991-11,25.8021
1991-12,25.818
1992-01,25.8629
1992-02,25.9921
1992-03,28.3777
1992-04,28.8962
1992-05,28.5415
1992-06,28.5186
1992-07,28.5639
1992-08,28.4635
1992-09,28.4757
1992-10,28.4767
1992-11,28.4737
1992-12,28.9786
1993-01,29.0432
1993-02,30.0421
1993-03,31.9391
1993-04,31.6095
1993-05,31.6125
1993-06,31.6682
1993-07,31.6
1993-08,31.6123
1993-09,31.5776
1993-10,31.505
1993-11,31.4335
1993-12,31.44
1994-01,31.44
1994-02,31.4489
1994-03,31.4147
1994-04,31.3914
1994-05,31.3754
1994-06,31.3845
1994-07,31.3764
1994-08,31.3727
1994-09,31.3723
1994-10,31.3726
1994-11,31.394
1994-12,31.3894
1995-01,31.3736
1995-02,31.3795
1995-03,31.5865
1995-04,31.4073
1995-05,31.4179
1995-06,31.4037
1995-07,31.3853
1995-08,31.5923
1995-09,33.3098
1995-10,34.6564
1995-11,34.71
1995-12,34.9663
1996-01,35.8117
1996-02,36.5945
1996-03,34.4852
1996-04,34.3195
1996-05,35.025
1996-06,35.0995
1996-07,35.6673
1996-08,35.8
1996-09,35.87
1996-10,35.8036
1996-11,35.8392
1996-12,35.8815
1997-01,35.9037
1997-02,35.8905
1997-03,35.8848
1997-04,35.8281
1997-05,35.8248
1997-06,35.8202
1997-07,35.7474
1997-08,36.0085
1997-09,36.4756
1997-10,36.302
1997-11,37.2889
1997-12,39.4
1998-01,39.391
1998-02,39.0079
1998-03,39.5686
1998-04,39.7029
1998-05,40.4687
1998-06,42.3668
1998-07,42.6118
1998-08,42.8429
1998-09,42.579
1998-10,42.3943
1998-11,42.4284
1998-12,42.5909
1999-01,42.5453
1999-02,42.5316
1999-03,42.5161
1999-04,42.7968
1999-05,42.859
1999-06,43.2127
1999-07,43.3567
1999-08,43.5032
1999-09,43.5981
1999-10,43.5528
1999-11,43.458
1999-12,43.5239
2000-01,43.5895
2000-02,43.654
2000-03,43.6383
2000-04,43.6847
2000-05,44.0759
2000-06,44.7605
2000-07,44.8405
2000-08,45.7687
2000-09,45.968
2000-10,46.4252
2000-11,46.8214
2000-12,46.7845
2001-01,46.6138
2001-02,46.5616
2001-03,46.6532
2001-04,46.7886
2001-05,46.9473
2001-06,47.0424
2001-07,47.1781
2001-08,47.1665
2001-09,47.7511
2001-10,48.0514
2001-11,48.043
2001-12,47.9345
2002-01,48.3533
2002-02,48.7168
2002-03,48.7667
2002-04,48.9386
2002-05,49.0168
2002-06,48.984
2002-07,48.7877
2002-08,48.615
2002-09,48.4625
2002-10,48.3882
2002-11,48.2853
2002-12,48.1495
2003-01,47.9571
2003-02,47.7474
2003-03,47.6767
2003-04,47.3909
2003-05,47.11
2003-06,46.6995
2003-07,46.22
2003-08,45.9557
