Date,Price
01-05-87,12.666
01-06-87,12.8368
01-07-87,13.0126
01-08-87,13.0852
01-09-87,12.9933
01-10-87,13.0429
01-11-87,12.9721
01-12-87,12.9345
01-01-88,13.0395
01-02-88,13.065
01-03-88,12.9791
01-04-88,13.1576
01-05-88,13.3157
01-06-88,13.7859
01-07-88,14.0795
01-08-88,14.217
01-09-88,14.4895
01-10-88,14.72
01-11-88,14.966
01-12-88,15.019
01-01-89,15.0925
01-02-89,15.2405
01-03-89,15.4674
01-04-89,15.718
01-05-89,16.1018
01-06-89,16.4195
01-07-89,16.416
01-08-89,16.6091
01-09-89,16.745
01-10-89,16.819
01-11-89,16.9248
01-12-89,16.932
01-01-90,16.9633
01-02-90,16.9895
01-03-90,17.1164
01-04-90,17.2943
01-05-90,17.3245
01-06-90,17.421
01-07-90,17.4119
01-08-90,17.3465
01-09-90,17.8595
01-10-90,18.0736
01-11-90,18.0975
01-12-90,18.1272
01-01-91,18.339
01-02-91,18.86
01-03-91,19.2429
01-04-91,19.9064
01-05-91,20.5186
01-06-91,21.062
01-07-91,25.6127
01-08-91,25.8457
01-09-91,25.8335
01-10-91,25.7973
01-11-91,25.8021
01-12-91,25.818
01-01-92,25.8629
01-02-92,25.9921
01-03-92,28.3777
01-04-92,28.8962
01-05-92,28.5415
01-06-92,28.5186
01-07-92,28.5639
01-08-92,28.4635
01-09-92,28.4757
01-10-92,28.4767
01-11-92,28.4737
01-12-92,28.9786
01-01-93,29.0432
01-02-93,30.0421
01-03-93,31.9391
01-04-93,31.6095
01-05-93,31.6125
01-06-93,31.6682
01-07-93,31.6
01-08-93,31.6123
01-09-93,31.5776
01-10-93,31.505
01-11-93,31.4335
01-12-93,31.44
01-01-94,31.44
01-02-94,31.4489
01-03-94,31.4147
01-04-94,31.3914
01-05-94,31.3754
01-06-94,31.3845
01-07-94,31.3764
01-08-94,31.3727
01-09-94,31.3723
01-10-94,31.3726
01-11-94,31.394
01-12-94,31.3894
01-01-95,31.3736
01-02-95,31.3795
01-03-95,31.5865
01-04-95,31.4073
01-05-95,31.4179
01-06-95,31.4037
01-07-95,31.3853
