Dependent,Independent,ADF Stat,p-value
log_oil_usd,log_gold_usd,-1.4921167934064326,0.537407381555187
log_oil_usd,log_usd_inr,-1.9219728173984172,0.3217960455417538
log_oil_usd,log_oil_inr,-3.395702113440443,0.011106261741096171
log_oil_usd,log_gold_inr,-3.4407313417200456,0.009646275252941629
log_gold_usd,log_oil_usd,-0.7200747409325465,0.8414809814271793
log_gold_usd,log_usd_inr,-1.7834778967669196,0.38869475984365076
log_gold_usd,log_oil_inr,-1.4440626697716459,0.5609792819766235
log_gold_usd,log_gold_inr,-2.8918197247377457,0.046307555140689925
log_usd_inr,log_oil_usd,-2.642999152850428,0.08443180894821056
log_usd_inr,log_gold_usd,-3.4856368586262896,0.008363723635734361
log_usd_inr,log_oil_inr,-3.3957021134404504,0.011106261741095943
log_usd_inr,log_gold_inr,-2.891819724737726,0.046307555140692194
log_oil_inr,log_oil_usd,-2.642999152850434,0.08443180894820934
log_oil_inr,log_gold_usd,-1.6370955203802404,0.4637788674886466
log_oil_inr,log_usd_inr,-1.9219728173984154,0.32179604554175456
log_oil_inr,log_gold_inr,-1.4393659230174716,0.563264968380166
log_gold_inr,log_oil_usd,-1.0080373575196602,0.7503215832812924
log_gold_inr,log_gold_usd,-3.485636858626296,0.008363723635734184
log_gold_inr,log_usd_inr,-1.7834778967669285,0.3886947598436465
log_gold_inr,log_oil_inr,-0.8702510999660719,0.7976112594548677
