Direction,Lag,F-statistic,p-value
log_gold_usd → log_oil_usd,1,2.5922419667072565,0.10808174402314019
log_gold_usd → log_oil_usd,2,4.229237144853843,0.01514397954341034
log_usd_inr → log_oil_usd,1,1.5917173540879204,0.20772733754359698
log_usd_inr → log_oil_usd,2,2.9918297612914744,0.05119058662270408
log_oil_inr → log_oil_usd,1,1.5917173540882013,0.2077273375435513
log_oil_inr → log_oil_usd,2,2.9918297612913216,0.05119058662271242
log_gold_inr → log_oil_usd,1,3.185965511774855,0.07493918780081389
log_gold_inr → log_oil_usd,2,3.5930295998462034,0.028303576143798078
log_oil_usd → log_gold_usd,1,1.0411914184516426,0.30808677182434885
log_oil_usd → log_gold_usd,2,0.4766095517001493,0.6211965769205611
log_usd_inr → log_gold_usd,1,3.9792035551941414,0.046661401591610585
log_usd_inr → log_gold_usd,2,2.6583678939453206,0.07115784869006653
log_oil_inr → log_gold_usd,1,3.475068886481438,0.06294390105571553
log_oil_inr → log_gold_usd,2,1.473327700641562,0.2302600286223006
log_gold_inr → log_gold_usd,1,3.9792035551945273,0.04666140159159984
log_gold_inr → log_gold_usd,2,2.6583678939447757,0.0711578486901029
log_oil_usd → log_usd_inr,1,2.034183478569008,0.15448250778519323
log_oil_usd → log_usd_inr,2,1.1431993665659372,0.31971743210337383
log_gold_usd → log_usd_inr,1,3.2991668242386476,0.06997293257187032
log_gold_usd → log_usd_inr,2,2.5383832181436556,0.08011967838914327
log_oil_inr → log_usd_inr,1,2.0341834785695494,0.15448250778513875
log_oil_inr → log_usd_inr,2,1.1431993665665086,0.3197174321032117
log_gold_inr → log_usd_inr,1,3.2991668242385566,0.06997293257187553
log_gold_inr → log_usd_inr,2,2.538383218143077,0.08011967838918749
log_oil_usd → log_oil_inr,1,1.3752363073618135,0.24152783788964058
log_oil_usd → log_oil_inr,2,3.2642354764893855,0.03912919127706003
log_gold_usd → log_oil_inr,1,1.5575192190423983,0.21267068026021282
log_gold_usd → log_oil_inr,2,2.5049231675763632,0.08281525866715625
log_usd_inr → log_oil_inr,1,1.375236307362004,0.24152783788962537
log_usd_inr → log_oil_inr,2,3.26423547648954,0.03912919127705313
log_gold_inr → log_oil_inr,1,3.3509971562234795,0.06781822226125048
log_gold_inr → log_oil_inr,2,3.446157776753572,0.032707609848986206
log_oil_usd → log_gold_inr,1,0.49600052355817115,0.48162304041066206
log_oil_usd → log_gold_inr,2,0.2661563963236274,0.7664392843847856
log_gold_usd → log_gold_inr,1,0.09072467855419575,0.7633954903468329
log_gold_usd → log_gold_inr,2,0.04474111371491835,0.9562492428709143
log_usd_inr → log_gold_inr,1,0.09072467855402018,0.7633954903470884
log_usd_inr → log_gold_inr,2,0.04474111371659449,0.9562492428693063
log_oil_inr → log_gold_inr,1,0.2670694116125572,0.605555539765946
log_oil_inr → log_gold_inr,2,0.16224598166439555,0.8502815312355405
