Time,Pair,Correlation
0,oil_usd_ret-gold_usd_ret,0.19907766669127386
0,oil_usd_ret-usd_inr_ret,-0.35323268858605167
0,oil_usd_ret-oil_inr_ret,0.9652179362355303
0,oil_usd_ret-gold_inr_ret,0.008026408559901643
0,gold_usd_ret-usd_inr_ret,-0.39852889589344004
0,gold_usd_ret-oil_inr_ret,0.0950572145538098
0,gold_usd_ret-gold_inr_ret,0.8238916392234027
0,usd_inr_ret-oil_inr_ret,-0.10232095713118589
0,usd_inr_ret-gold_inr_ret,0.17933379630100513
0,oil_inr_ret-gold_inr_ret,0.05592130716346065
1,oil_usd_ret-gold_usd_ret,0.17859435022669334
1,oil_usd_ret-usd_inr_ret,-0.3342067217137731
1,oil_usd_ret-oil_inr_ret,0.9638871456777336
1,oil_usd_ret-gold_inr_ret,-0.0008697873144824791
1,gold_usd_ret-usd_inr_ret,-0.41600232075292587
1,gold_usd_ret-oil_inr_ret,0.06519678228911625
1,gold_usd_ret-gold_inr_ret,0.8232869528242845
1,usd_inr_ret-oil_inr_ret,-0.07709849974699709
1,usd_inr_ret-gold_inr_ret,0.1617188990468761
1,oil_inr_ret-gold_inr_ret,0.04095784593767048
2,oil_usd_ret-gold_usd_ret,0.17506893075019822
2,oil_usd_ret-usd_inr_ret,-0.3291568111290342
2,oil_usd_ret-oil_inr_ret,0.9643881333723359
2,oil_usd_ret-gold_inr_ret,-0.0024406250967906077
2,gold_usd_ret-usd_inr_ret,-0.4139875258124959
2,gold_usd_ret-oil_inr_ret,0.0629749488545478
2,gold_usd_ret-gold_inr_ret,0.8231825601038163
2,usd_inr_ret-oil_inr_ret,-0.07360187203500823
2,usd_inr_ret-gold_inr_ret,0.16406227878064883
2,oil_inr_ret-gold_inr_ret,0.03980209562706029
3,oil_usd_ret-gold_usd_ret,0.18685101777455626
3,oil_usd_ret-usd_inr_ret,-0.3471160606578152
3,oil_usd_ret-oil_inr_ret,0.9592781623879678
3,oil_usd_ret-gold_inr_ret,-0.01581814615722389
3,gold_usd_ret-usd_inr_ret,-0.4209642564112175
3,gold_usd_ret-oil_inr_ret,0.06670866940976496
