Direction,Lag,F-statistic,p-value
log_gold_usd → log_oil_usd,1,0.7030225500534842,0.4076261791478767
log_gold_usd → log_oil_usd,2,4.3097601218844614,0.02231071371018118
log_usd_inr → log_oil_usd,1,1.8226414487591451,0.18591881394785614
log_usd_inr → log_oil_usd,2,1.7623749846446248,0.188400847610631
log_oil_inr → log_oil_usd,1,1.8226414487591385,0.18591881394785714
log_oil_inr → log_oil_usd,2,1.762374984644618,0.18840084761063172
log_gold_inr → log_oil_usd,1,1.9950943088266262,0.1668977788171851
log_gold_inr → log_oil_usd,2,2.3414514307264467,0.1129726978738459
log_oil_usd → log_gold_usd,1,6.200163052875313,0.017823693065189945
log_oil_usd → log_gold_usd,2,2.0243181954936906,0.1491776643497865
log_usd_inr → log_gold_usd,1,3.452836645854408,0.07181964762714059
log_usd_inr → log_gold_usd,2,3.1364762075349,0.057478104016526754
log_oil_inr → log_gold_usd,1,7.854624657855005,0.008310677868004915
log_oil_inr → log_gold_usd,2,3.714810175588519,0.03579165631284245
log_gold_inr → log_gold_usd,1,3.4528366458544397,0.07181964762713952
log_gold_inr → log_gold_usd,2,3.1364762075349275,0.05747810401652557
log_oil_usd → log_usd_inr,1,1.5527413453062384,0.2212491980133757
log_oil_usd → log_usd_inr,2,1.1141283872826089,0.3409880094119528
log_gold_usd → log_usd_inr,1,3.8630430091426042,0.05757192509080232
log_gold_usd → log_usd_inr,2,7.814382070576321,0.0017863671647549652
log_oil_inr → log_usd_inr,1,1.5527413453062175,0.22124919801337783
log_oil_inr → log_usd_inr,2,1.114128387282565,0.3409880094119666
log_gold_inr → log_usd_inr,1,3.863043009142585,0.05757192509080273
log_gold_inr → log_usd_inr,2,7.8143820705762295,0.001786367164755076
log_oil_usd → log_oil_inr,1,1.2501116158508874,0.2713692204528352
log_oil_usd → log_oil_inr,2,1.7580485832797437,0.18913424468162868
log_gold_usd → log_oil_inr,1,0.2877978129998551,0.5951282472457331
log_gold_usd → log_oil_inr,2,2.4880219765615776,0.09951727476932924
log_usd_inr → log_oil_inr,1,1.2501116158509231,0.2713692204528298
log_usd_inr → log_oil_inr,2,1.7580485832797834,0.1891342446816218
log_gold_inr → log_oil_inr,1,1.5389334181249612,0.22326916728741972
log_gold_inr → log_oil_inr,2,1.6450179935141567,0.20941277433654643
log_oil_usd → log_gold_inr,1,3.8861567026364217,0.05686842033231257
log_oil_usd → log_gold_inr,2,1.6405224317233764,0.2102657188670021
log_gold_usd → log_gold_inr,1,0.06728907753701593,0.7968898126515342
log_gold_usd → log_gold_inr,2,4.846371466975908,0.014743252337744983
log_usd_inr → log_gold_inr,1,0.06728907753707936,0.7968898126514504
log_usd_inr → log_gold_inr,2,4.846371466975801,0.014743252337746215
log_oil_inr → log_gold_inr,1,2.9802722716523973,0.09336283528977873
log_oil_inr → log_gold_inr,2,1.4172285850757245,0.2576549260479782
