Date,CPI
1987,3.6645632175169
1988,4.07774110744413
1989,4.82700303008944
1990,5.39795643990325
1991,4.23496396453849
1992,3.02881967814969
1993,2.95165696638559
1994,2.60744159215453
1995,2.80541968853662
1996,2.93120419993441
1997,2.33768993730735
1998,1.55227909874364
1999,2.18802719697358
2000,3.37685727149929
2001,2.82617111885407
2002,1.58603162650601
2003,2.27009497336115
2004,2.67723669309172
2005,3.3927468454955
2006,3.22594410070404
2007,2.85267248150138
2008,3.839100296651
2009,-0.355546266299747
2010,1.6400434423899
2011,3.156841568622
2012,2.06933726526067
2013,1.46483265562717
2014,1.62222297740817
2015,0.118627135552451
2016,1.26158320570536
2017,2.13011000365961
2018,2.44258329692817
2019,1.81221007526021
2020,1.23358439630629
2021,4.69785886363742
2022,8.00279982052121
2023,4.11633838374488
2024,2.94952520485207
